fat,len,wid,slat,slon
0,0.25,50,37.09,-98.12
0,2.1,80,32.75,-97.35
0,0.0,0,43.12,-106.32
0,0.2,25,38.48,-78.03
0,1.88,300,32.8155,-89.6062
0,3.0,400,40.1,-99.77
0,2.41,150,35.2105,-91.6726
0,0.13,25,28.07,-97.22
0,6.64,100,30.24,-92.4
0,0.56,100,35.29,-105.18
0,0.2,30,26.83,-81.08
0,3.09,50,37.7297,-99.7239
0,9.0,450,43.13,-94.93
0,0.31,70,39.0139,-84.0608
0,0.1,10,34.02,-93.85
0,5.4,200,37.28,-89.85
0,1.5,20,39.39,-102.93
0,0.5,100,41.25,-78.8
0,0.03,50,37.1691,-96.9803
0,2.77,100,31.5904,-89.5962
0,0.14,50,38.6247,-89.7812
0,5.2,300,35.18,-96.68
0,0.24,30,34.3341,-79.3216
0,10.0,350,35.48,-92.62
0,2.0,50,30.45,-95.25
1,0.49,50,36.9432,-93.7216
0,3.7,50,35.57,-92.35
0,0.25,30,31.95,-92.19
0,0.2,20,33.67,-79.83
0,1.5,30,36.4319,-97.8801
0,5.04,388,32.4191,-99.8388
0,0.87,50,37.88,-101.79
0,1.14,200,34.37,-83.86
0,0.01,10,28.5864,-98.2658
0,0.55,75,44.1088,-72.437
0,0.5,50,29.4,-94.9
0,1.5,100,46.75,-96.82
0,1.75,75,37.8031,-86.1709
0,2.4,75,34.5746,-87.1057
0,5.0,200,40.67,-84.92
0,0.47,75,46.34,-96.54
0,0.5,40,35.55,-98.95
0,1.0,50,35.12,-94.4
0,0.99,600,32.311,-91.7595
0,0.1,20,36.98,-86.43
0,0.5,50,40.75,-88.28
0,0.41,100,30.4802,-103.46
0,6.79,200,34.5988,-92.1469
0,5.2,350,35.0823,-94.2695
0,0.3,30,32.37,-89.4
0,1.16,100,30.42,-82.23
0,0.1,25,40.17,-103.62
0,2.3,100,43.38,-96.77
0,0.47,20,41.0799,-100.798
0,3.07,350,37.06,-86.07
0,1.0,15,46.13,-100.17
0,0.2,30,29.38,-96.78
0,0.1,10,35.13,-90.82
0,12.6,300,32.4184,-92.5302
0,2.2,200,34.987,-85.271
0,2.39,200,34.33,-99.22
0,3.8,200,41.88,-95.91
0,1.0,100,34.6,-102.1
0,0.29,25,33.553,-97.1835
0,5.0,250,40.57,-79.23
0,3.0,100,41.48,-78.68
0,1.96,100,36.007,-86.1394
0,0.1,25,41.73,-86.15
0,0.5,50,39.03,-103.42
0,0.3,10,27.78,-82.47
0,2.76,50,32.03,-93.23
0,1.2,150,38.9546,-95.7609
0,6.83,30,34.59,-82.87
0,0.33,20,38.468,-85.952
0,0.25,50,37.09,-92.14
0,0.1,10,42.28,-89.62
0,2.0,30,38.98,-97.72
0,0.7,50,33.3,-102.43
0,1.0,200,30.05,-98.1
0,1.0,50,32.85,-91.18
0,0.0,40,48.58,-102.42
0,0.1,20,33.37,-79.47
0,4.87,175,41.0645,-84.3498
0,1.89,350,38.5283,-99.3177
0,4.5,80,34.7,-92.55
0,10.0,400,39.9,-89.25
0,7.3,150,40.85,-89.3
0,3.92,50,43.1854,-115.883
0,10.0,120,44.48,-91.8
0,10.27,75,28.526,-99.3947
0,1.0,400,37.18,-84.68
0,13.6,400,31.4642,-91.0279
0,5.0,100,41.77,-110.12
0,0.5,0,46.87,-95.9
